bin,rows,mean_actual,mean_predicted,median_predicted,target,abs_calibration_gap
0,26,0.0008653846153846153,0.0011398076923076924,0.000827,at_least_one,0.00027442307692307705
1,25,0.0064080000000000005,0.00636196,0.006911,at_least_one,4.6040000000000664e-05
2,25,0.012551999999999999,0.013433520000000001,0.013029,at_least_one,0.000881520000000002
3,25,0.020668000000000002,0.021197360000000002,0.020755,at_least_one,0.0005293599999999996
4,25,0.037795999999999996,0.040378080000000004,0.042305,at_least_one,0.0025820800000000074
5,25,0.062004000000000004,0.06476768,0.063367,at_least_one,0.0027636799999999906
6,25,0.118704,0.12001912,0.111515,at_least_one,0.001315120000000003
7,25,0.266256,0.27700844,0.225437,at_least_one,0.01075244000000003
0,26,0.0,0.0,0.0,at_least_two,0.0
1,25,0.0,0.0,0.0,at_least_two,0.0
2,25,3.2e-05,9.8e-06,0.0,at_least_two,2.2199999999999998e-05
3,25,0.00014800000000000002,0.00030588,0.000299,at_least_two,0.00015788
4,25,0.0018599999999999999,0.00218956,0.001762,at_least_two,0.0003295600000000002
5,25,0.011856,0.01124748,0.011732,at_least_two,0.0006085199999999995
6,25,0.039256,0.04040516,0.040074,at_least_two,0.0011491600000000032
7,25,0.153984,0.15765456,0.110682,at_least_two,0.0036705599999999894
0,26,0.0,0.0,0.0,at_least_three,0.0
1,25,0.0,0.0,0.0,at_least_three,0.0
2,25,0.0,0.0,0.0,at_least_three,0.0
3,25,0.0,0.0,0.0,at_least_three,0.0
4,25,8.4e-05,5.2239999999999995e-05,0.0,at_least_three,3.176e-05
5,25,0.002008,0.00186176,0.001374,at_least_three,0.00014623999999999974
6,25,0.01542,0.014779839999999999,0.015351,at_least_three,0.0006401600000000007
7,25,0.093324,0.09136172000000001,0.059539,at_least_three,0.001962279999999997
