segment,segment_value,segment_order,rows,metric_percent,mean_actual_at_least_one,mean_pred_at_least_one,mean_actual_at_least_two,mean_pred_at_least_two,mean_actual_at_least_three,mean_pred_at_least_three
CPM quartile,"(130.0, 212.0]",2,46,11.657355697201034,0.04911521739130435,0.05141891304347825,0.014208695652173909,0.014583434782608692,0.006215217391304348,0.005942239130434784
CPM quartile,"(212.0, 467.0]",3,50,8.231923494512783,0.11372,0.11224287999999999,0.05113399999999999,0.05040144,0.028296,0.026722960000000004
CPM quartile,"(29.999, 70.0]",0,51,8.327959708131583,0.029792156862745105,0.03313909803921569,0.009513725490196077,0.009514941176470587,0.004325490196078431,0.003772294117647059
CPM quartile,"(70.0, 130.0]",1,54,10.14025149063167,0.06791666666666667,0.07298668518518518,0.027461111111111113,0.029984055555555552,0.015733333333333335,0.016657611111111113
Audience quartile,"(1416.0, 2500.0]",3,50,7.64174323438811,0.08489,0.08654004,0.045087999999999996,0.044722359999999996,0.026608,0.02529578
Audience quartile,"(299.999, 712.0]",0,51,14.242013756875993,0.07029019607843137,0.06987360784313726,0.02212745098039216,0.021681941176470588,0.011249019607843138,0.010225666666666666
Audience quartile,"(712.0, 992.0]",1,50,8.661105513503188,0.04543,0.04909368,0.013523999999999998,0.015312100000000002,0.005596000000000001,0.005840080000000001
Audience quartile,"(992.0, 1416.0]",2,50,7.674197454126874,0.060627999999999994,0.06527097999999999,0.022386,0.023756180000000002,0.011739999999999999,0.012461739999999999
Duration quartile,"(18.0, 49.0]",2,50,12.078848468618908,0.075724,0.07816656,0.02435,0.024728540000000004,0.007201999999999999,0.006868419999999999
Duration quartile,"(2.999, 6.0]",0,51,5.660629662328076,0.02341372549019608,0.025404862745098043,0.0,0.0,0.0,0.0
Duration quartile,"(49.0, 205.0]",3,50,11.661826087201144,0.131246,0.13838154000000003,0.07801799999999999,0.08021346,0.048216,0.047151120000000005
Duration quartile,"(6.0, 18.0]",1,50,8.975534421735464,0.031792,0.02971472,0.0012,0.0009642199999999999,0.0,8.239999999999999e-06
Publisher count,1 publisher,0,16,6.723064333637074,0.0356875,0.0375400625,0.00999375,0.0117099375,0.00374375,0.004262875
Publisher count,2 publishers,1,35,8.668730565005479,0.04102,0.04296702857142857,0.016108571428571427,0.01721297142857143,0.008754285714285713,0.009075657142857144
Publisher count,3+ publishers,2,150,10.055308334143408,0.07416999999999999,0.07669534666666666,0.029698000000000006,0.03003665333333333,0.01603066666666667,0.015436899999999998
Start hour bucket,day,2,62,9.880543502532735,0.07540967741935484,0.07823161290322579,0.03132096774193548,0.031795483870967735,0.01751774193548387,0.016992096774193544
Start hour bucket,evening,3,46,7.861106093397918,0.053295652173913036,0.055295891304347825,0.017178260869565216,0.017973934782608694,0.006739130434782609,0.006746913043478261
Start hour bucket,morning,1,45,8.958027728475692,0.06727111111111111,0.07082673333333332,0.028651111111111113,0.029961266666666667,0.017562222222222222,0.01731402222222222
Start hour bucket,night,0,48,11.300724389087735,0.06204166666666666,0.0630753125,0.024104166666666666,0.023936104166666666,0.012177083333333333,0.011633125
