feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
all,300.0,0.08,0.0,0.4,389,254,7.95,7.946195326178085,0.09587246894538388,0.07260243351687949,0.06091327425755322
all,200.0,0.08,0.0,0.4,389,254,7.95,7.946267915684402,0.09593892735969912,0.07257905300348817,0.06087221373616788
all,100.0,0.06,0.0,0.4,389,254,7.95,7.94627928996865,0.09596270217751693,0.07255846742783127,0.060869340603600955
all,200.0,0.06,0.0,0.4,389,254,7.95,7.946652965049461,0.09588414303619273,0.07259269318406046,0.06092405899973589
all,300.0,0.08,0.0,0.25,389,254,7.95,7.9467394162173965,0.09587246894538388,0.07260243351687949,0.0609283953648729
all,500.0,0.1,0.0,0.25,389,254,7.95,7.946773191639034,0.0958213267820065,0.07262908932920202,0.06095382038484548
all,500.0,0.1,0.0,0.4,389,254,7.95,7.946773191639034,0.0958213267820065,0.07262908932920202,0.06095382038484548
all,500.0,0.08,0.0,0.25,389,254,7.95,7.947019478701711,0.09579964152543112,0.07263133946717391,0.060980100176275726
all,500.0,0.08,0.0,0.4,389,254,7.95,7.947019478701711,0.09579964152543112,0.07263133946717391,0.060980100176275726
all,300.0,0.1,0.0,0.4,389,254,7.95,7.94713617300471,0.09591880554528241,0.07260165653005642,0.060893862191141165
all,100.0,0.08,0.0,0.4,389,254,7.95,7.947463113510467,0.09606487630890564,0.07253801695320736,0.060820517118800106
all,300.0,0.06,0.0,0.4,389,254,7.95,7.947637007980735,0.09584065047570962,0.07261191014203913,0.06097568251212885
all,1000.0,0.12,0.0,0.15,389,254,7.95,7.947800797184734,0.09572739318217757,0.07265652617020446,0.061048875681111704
all,1000.0,0.12,0.0,0.25,389,254,7.95,7.947800797184734,0.09572739318217757,0.07265652617020446,0.061048875681111704
all,1000.0,0.12,0.0,0.4,389,254,7.95,7.947800797184734,0.09572739318217757,0.07265652617020446,0.061048875681111704
all,300.0,0.1,0.0,0.25,389,254,7.95,7.947816291844134,0.09591880554528241,0.07260165653005642,0.06091276357345746
all,200.0,0.06,0.0,0.25,389,254,7.95,7.947889550121623,0.09588414303619273,0.07259269318406046,0.06095842536373272
all,200.0,0.08,0.0,0.25,389,254,7.95,7.947916692783408,0.09593892735969912,0.07257905300348817,0.060918035547497064
all,300.0,0.06,0.0,0.25,389,254,7.95,7.948045080769028,0.09584065047570962,0.07261191014203913,0.06098702334445192
all,500.0,0.12,0.0,0.25,389,254,7.95,7.948161845607271,0.09585497012889531,0.07263851598704027,0.06094934287330539
all,500.0,0.12,0.0,0.4,389,254,7.95,7.948161845607271,0.09585497012889531,0.07263851598704027,0.06094934287330539
all,200.0,0.1,0.0,0.4,389,254,7.95,7.948164216289744,0.09601603383998826,0.07257982041193176,0.060847040621234326
all,1000.0,0.1,0.0,0.15,389,254,7.95,7.948245889313044,0.09572538790621841,0.0726538284806355,0.061065948269941724
all,1000.0,0.1,0.0,0.25,389,254,7.95,7.948245889313044,0.09572538790621841,0.0726538284806355,0.061065948269941724
all,1000.0,0.1,0.0,0.4,389,254,7.95,7.948245889313044,0.09572538790621841,0.0726538284806355,0.061065948269941724
all,100.0,0.06,0.0,0.25,389,254,7.95,7.948272003558432,0.09595824869929723,0.07255846742783127,0.06092917427306397
all,500.0,0.1,0.0,0.15,389,254,7.95,7.948338439191782,0.0958213267820065,0.07262908932920202,0.060997320606993866
all,500.0,0.08,0.0,0.15,389,254,7.95,7.948673557630737,0.09579964152543112,0.07263133946717391,0.06102606901166465
all,300.0,0.08,0.0,0.15,389,254,7.95,7.948729692334444,0.09587246894538388,0.07260243351687949,0.0609837075803263
all,100.0,0.04,0.0,0.4,389,254,7.95,7.9487824493079895,0.09588393686719647,0.07258688728488906,0.06098925205765941
all,1000.0,0.15,0.0,0.15,389,254,7.95,7.9490474515154785,0.09574577136086605,0.07267185906188588,0.061049810442977206
all,1000.0,0.15,0.0,0.25,389,254,7.95,7.9490474515154785,0.09574577136086605,0.07267185906188588,0.061049810442977206
all,1000.0,0.15,0.0,0.4,389,254,7.95,7.9490474515154785,0.09574577136086605,0.07267185906188588,0.061049810442977206
all,100.0,0.06,0.0,0.15,389,254,7.95,7.949289715195373,0.095928349009701,0.07256077475751015,0.06098504981400978
all,500.0,0.06,0.0,0.25,389,254,7.95,7.949345103942984,0.09578888302280189,0.07263639380943028,0.06105043604767888
all,500.0,0.06,0.0,0.4,389,254,7.95,7.949345103942984,0.09578888302280189,0.07263639380943028,0.06105043604767888
all,300.0,0.12,0.0,0.4,389,254,7.95,7.949420906909932,0.0959881132691903,0.07261165283576207,0.06087805340025395
all,200.0,0.08,0.0,0.15,389,254,7.95,7.949471687085663,0.09593762508107649,0.07257905300348817,0.060962552641656634
all,1000.0,0.12,0.0,0.08,389,254,7.95,7.949617354399052,0.09572666335160865,0.07265652617020446,0.06110008940991117
all,1000.0,0.08,0.0,0.15,389,254,7.95,7.94977449699612,0.09572942684554722,0.07265418862121148,0.06110403057120999
all,1000.0,0.08,0.0,0.25,389,254,7.95,7.94977449699612,0.09572942684554722,0.07265418862121148,0.06110403057120999
all,1000.0,0.08,0.0,0.4,389,254,7.95,7.94977449699612,0.09572942684554722,0.07265418862121148,0.06110403057120999
all,300.0,0.1,0.0,0.15,389,254,7.95,7.949801810249646,0.09591880554528241,0.07260165653005642,0.06096794301701981
all,200.0,0.06,0.0,0.15,389,254,7.95,7.949914167891192,0.09588316632814242,0.07259269318406046,0.06101566807546003
all,200.0,0.04,0.0,0.4,389,254,7.95,7.95003361199591,0.09584107423697169,0.0726136274335972,0.061040145346467164
all,500.0,0.12,0.0,0.15,389,254,7.95,7.950040169451489,0.09585497012889531,0.07263851598704027,0.06100154313695015
all,100.0,0.08,0.0,0.15,389,254,7.95,7.950078569798413,0.09601907208270663,0.07254109340133463,0.06093593093862131
all,500.0,0.1,0.0,0.08,389,254,7.95,7.950096834798548,0.09581318202876205,0.07263312775654976,0.06105029423305151
all,300.0,0.06,0.0,0.15,389,254,7.95,7.95010954802422,0.09584065047570962,0.07261191014203913,0.06104439670900325
all,100.0,0.04,0.0,0.25,389,254,7.95,7.950110951753064,0.09588096788416109,0.07258688728488906,0.06102914116819034
all,100.0,0.08,0.0,0.25,389,254,7.95,7.950120102276426,0.09605893834283487,0.07253801695320736,0.06090029533986196
all,300.0,0.08,0.0,0.08,389,254,7.95,7.950190785463507,0.09585702523012433,0.07260609201411622,0.061036097720110934
all,200.0,0.1,0.0,0.25,389,254,7.95,7.950225228001617,0.09601603383998826,0.07257982041193176,0.06090431789089575
all,300.0,0.12,0.0,0.25,389,254,7.95,7.950237067516497,0.0959881132691903,0.07261165283576207,0.0609007350649001
all,1000.0,0.15,0.0,0.08,389,254,7.95,7.95032471336603,0.09574485907173823,0.07267185906188588,0.06108621876447666
all,1000.0,0.1,0.0,0.08,389,254,7.95,7.950393339377504,0.09572477971224432,0.0726538284806355,0.06112623585991917
static_replay,500.0,0.2,2.0,0.08,389,254,7.95,7.950495257473,0.09542564874115517,0.07268913915731215,0.06139288851216483
all,500.0,0.08,0.0,0.08,389,254,7.95,7.9505164722777355,0.09579312572870215,0.07263457021235208,0.061080570039897454
static_replay,500.0,0.2,2.0,0.15,389,254,7.95,7.950533267819315,0.09542670506811905,0.07268913915731215,0.06139288851216483
static_replay,500.0,0.2,2.0,0.25,389,254,7.95,7.950533267819315,0.09542670506811905,0.07268913915731215,0.06139288851216483
static_replay,500.0,0.2,2.0,0.4,389,254,7.95,7.950533267819315,0.09542670506811905,0.07268913915731215,0.06139288851216483
all,2000.0,0.15,0.0,0.08,389,254,7.95,7.9505623297282835,0.09566682170131527,0.0726679809750801,0.061174737706262985
all,300.0,0.1,0.0,0.08,389,254,7.95,7.950563838543934,0.09589950090762456,0.07260526943098655,0.06100481197478663
all,2000.0,0.15,0.0,0.15,389,254,7.95,7.9506875315005,0.09566682170131527,0.0726679809750801,0.061178217123976954
all,2000.0,0.15,0.0,0.25,389,254,7.95,7.9506875315005,0.09566682170131527,0.0726679809750801,0.061178217123976954
all,2000.0,0.15,0.0,0.4,389,254,7.95,7.9506875315005,0.09566682170131527,0.0726679809750801,0.061178217123976954
all,500.0,0.06,0.0,0.15,389,254,7.95,7.9507459553091575,0.09578888302280189,0.07263639380943028,0.06108936659261657
all,500.0,0.12,0.0,0.08,389,254,7.95,7.950794881996059,0.09584519643380186,0.07264336210205753,0.061027444583414595
all,100.0,0.08,0.0,0.08,389,254,7.95,7.95082061642165,0.0959652452941686,0.0725585239116444,0.06099294908436482
all,200.0,0.04,0.0,0.25,389,254,7.95,7.950858026156116,0.09584107423697169,0.0726136274335972,0.06106305625213176
all,300.0,0.04,0.0,0.4,389,254,7.95,7.950889089548174,0.09581364426823745,0.07262810212893164,0.06107687479021033
all,100.0,0.06,0.0,0.08,389,254,7.95,7.9508909841264686,0.0958995304664486,0.07257759724188487,0.061041546130162154
all,200.0,0.08,0.0,0.08,389,254,7.95,7.95094677838204,0.09590965246105192,0.072589759511639,0.06102081241089012
all,100.0,0.04,0.0,0.15,389,254,7.95,7.950971156743236,0.09586103475409698,0.07258842550895271,0.06107144160486542
static_replay,1000.0,0.2,2.0,0.08,389,254,7.95,7.9510227013846135,0.09546147439563854,0.07266237563740963,0.06139848428040788
static_replay,1000.0,0.2,2.0,0.15,389,254,7.95,7.9510227013846135,0.09546147439563854,0.07266237563740963,0.06139848428040788
static_replay,1000.0,0.2,2.0,0.25,389,254,7.95,7.9510227013846135,0.09546147439563854,0.07266237563740963,0.06139848428040788
static_replay,1000.0,0.2,2.0,0.4,389,254,7.95,7.9510227013846135,0.09546147439563854,0.07266237563740963,0.06139848428040788
all,2000.0,0.12,0.0,0.15,389,254,7.95,7.951090454501508,0.09567503229197016,0.07266510488506327,0.06118408002073268
all,2000.0,0.12,0.0,0.25,389,254,7.95,7.951090454501508,0.09567503229197016,0.07266510488506327,0.06118408002073268
all,2000.0,0.12,0.0,0.4,389,254,7.95,7.951090454501508,0.09567503229197016,0.07266510488506327,0.06118408002073268
all,100.0,0.1,0.0,0.4,389,254,7.95,7.951131095423403,0.0962052160393837,0.07253830471496049,0.0607818258691847
static_replay,500.0,0.15,2.0,0.08,389,254,7.95,7.9511400713182745,0.09548523325494211,0.07267484543752302,0.06136551737433705
all,300.0,0.04,0.0,0.25,389,254,7.95,7.9511611460541864,0.09581364426823745,0.07262810212893164,0.06108443534387018
static_replay,500.0,0.15,2.0,0.15,389,254,7.95,7.951168579197554,0.09548602549879004,0.07267484543752302,0.06136551737433705
static_replay,500.0,0.15,2.0,0.25,389,254,7.95,7.951168579197554,0.09548602549879004,0.07267484543752302,0.06136551737433705
static_replay,500.0,0.15,2.0,0.4,389,254,7.95,7.951168579197554,0.09548602549879004,0.07267484543752302,0.06136551737433705
static_replay,300.0,0.2,2.0,0.08,389,254,7.95,7.95120019196176,0.09540435996366094,0.07272922446948067,0.06139368240693926
all,200.0,0.06,0.0,0.08,389,254,7.95,7.951205413156703,0.09586218685349909,0.07260301257105954,0.0610622125142747
static_replay,300.0,0.15,2.0,0.08,389,254,7.95,7.951214628113923,0.09546937691702681,0.07269237160365986,0.06136591950487025
static_replay,500.0,0.12,0.0,0.08,389,254,7.95,7.95122270661357,0.09574009064013397,0.0726671157017285,0.06112068618786581
all,300.0,0.06,0.0,0.08,389,254,7.95,7.951287765128079,0.09582906769018161,0.07261694351443604,0.06108368932209163
static_replay,500.0,0.15,0.0,0.08,389,254,7.95,7.951297578326111,0.09575824163345346,0.0726784056253506,0.061093325979730766
static_replay,500.0,0.12,0.0,0.15,389,254,7.95,7.951302216825584,0.09574230025427498,0.0726671157017285,0.06112068618786581
static_replay,500.0,0.12,0.0,0.25,389,254,7.95,7.951302216825584,0.09574230025427498,0.0726671157017285,0.06112068618786581
static_replay,500.0,0.12,0.0,0.4,389,254,7.95,7.951302216825584,0.09574230025427498,0.0726671157017285,0.06112068618786581
static_replay,200.0,0.15,2.0,0.08,389,254,7.95,7.951319782496036,0.09545453737198058,0.07270731964275529,0.06136873328449562
static_replay,200.0,0.08,0.0,0.08,389,254,7.95,7.951325775265894,0.09573248644614973,0.0726743073390272,0.06112396305494668
static_replay,300.0,0.1,0.0,0.08,389,254,7.95,7.951380980565403,0.09574419376385737,0.07267828499200003,0.061109812255847544
static_replay,500.0,0.15,0.0,0.15,389,254,7.95,7.951396966004309,0.09576100364654645,0.0726784056253506,0.061093325979730766
static_replay,500.0,0.15,0.0,0.25,389,254,7.95,7.951396966004309,0.09576100364654645,0.0726784056253506,0.061093325979730766
static_replay,500.0,0.15,0.0,0.4,389,254,7.95,7.951396966004309,0.09576100364654645,0.0726784056253506,0.061093325979730766
all,200.0,0.12,0.0,0.4,389,254,7.95,7.9514089881111305,0.09612245917085897,0.07258874268480621,0.0608218674937093
static_replay,500.0,0.2,1.0,0.08,389,254,7.95,7.951467080011687,0.09546834001617364,0.07269931219591734,0.061367031527094905
static_replay,200.0,0.12,2.0,0.08,389,254,7.95,7.951484071433024,0.09549651545816981,0.0726873715372364,0.061351268939863535
all,2000.0,0.12,0.0,0.08,389,254,7.95,7.951506499181327,0.09567503229197016,0.07266510488506327,0.06119564203116735
static_replay,500.0,0.2,1.0,0.15,389,254,7.95,7.951526156181599,0.0954699817582081,0.07269931219591734,0.061367031527094905
static_replay,500.0,0.2,1.0,0.25,389,254,7.95,7.951526156181599,0.0954699817582081,0.07269931219591734,0.061367031527094905
static_replay,500.0,0.2,1.0,0.4,389,254,7.95,7.951526156181599,0.0954699817582081,0.07269931219591734,0.061367031527094905
static_replay,1000.0,0.2,1.0,0.08,389,254,7.95,7.951555444791225,0.09549047651332106,0.07266326737828281,0.06138339552731689
static_replay,1000.0,0.2,1.0,0.15,389,254,7.95,7.951555444791225,0.09549047651332106,0.07266326737828281,0.06138339552731689
static_replay,1000.0,0.2,1.0,0.25,389,254,7.95,7.951555444791225,0.09549047651332106,0.07266326737828281,0.06138339552731689
static_replay,1000.0,0.2,1.0,0.4,389,254,7.95,7.951555444791225,0.09549047651332106,0.07266326737828281,0.06138339552731689
all,500.0,0.15,0.0,0.25,389,254,7.95,7.951621211341564,0.09593562114240231,0.07265989389688406,0.060943452047518575
all,500.0,0.15,0.0,0.4,389,254,7.95,7.951621211341564,0.09593562114240231,0.07265989389688406,0.060943452047518575
all,2000.0,0.2,0.0,0.08,389,254,7.95,7.951636667278872,0.09567113541939624,0.07269157270448533,0.061176688486890805
all,1000.0,0.08,0.0,0.08,389,254,7.95,7.951657280942781,0.0957289402918346,0.07265418862121148,0.06115684055597788
static_replay,500.0,0.1,0.0,0.08,389,254,7.95,7.951660446793207,0.0957342111458226,0.07266029694859488,0.06114554935427578
all,200.0,0.1,0.0,0.15,389,254,7.95,7.951666650140998,0.09601440599445993,0.07257982041193176,0.06094600343467413
