rate_smoothing_weeks,publisher_smoothing,hour_smoothing,cpm_smoothing,session_power,hazard_blend_weight,selection_metric_percent,selection_metric_raw_percent
0.5,25.0,25.0,0.0,0.5,0.0,7.96,7.959060407911922
0.5,25.0,25.0,0.0,1.0,0.0,7.96,7.959060407911922
0.5,25.0,25.0,1000.0,0.5,0.0,7.96,7.959060407911922
0.5,25.0,25.0,1000.0,1.0,0.0,7.96,7.959060407911922
0.5,25.0,100.0,0.0,0.5,0.0,7.96,7.959060407911922
0.5,25.0,100.0,0.0,1.0,0.0,7.96,7.959060407911922
0.5,25.0,100.0,1000.0,0.5,0.0,7.96,7.959060407911922
0.5,25.0,100.0,1000.0,1.0,0.0,7.96,7.959060407911922
0.5,100.0,25.0,0.0,0.5,0.0,7.96,7.959060407911922
0.5,100.0,25.0,0.0,1.0,0.0,7.96,7.959060407911922
0.5,100.0,25.0,1000.0,0.5,0.0,7.96,7.959060407911922
0.5,100.0,25.0,1000.0,1.0,0.0,7.96,7.959060407911922
0.5,100.0,100.0,0.0,0.5,0.0,7.96,7.959060407911922
0.5,100.0,100.0,0.0,1.0,0.0,7.96,7.959060407911922
0.5,100.0,100.0,1000.0,0.5,0.0,7.96,7.959060407911922
0.5,100.0,100.0,1000.0,1.0,0.0,7.96,7.959060407911922
1.5,25.0,25.0,0.0,0.5,0.0,7.96,7.959060407911922
1.5,25.0,25.0,0.0,1.0,0.0,7.96,7.959060407911922
1.5,25.0,25.0,1000.0,0.5,0.0,7.96,7.959060407911922
1.5,25.0,25.0,1000.0,1.0,0.0,7.96,7.959060407911922
1.5,25.0,100.0,0.0,0.5,0.0,7.96,7.959060407911922
1.5,25.0,100.0,0.0,1.0,0.0,7.96,7.959060407911922
1.5,25.0,100.0,1000.0,0.5,0.0,7.96,7.959060407911922
1.5,25.0,100.0,1000.0,1.0,0.0,7.96,7.959060407911922
1.5,100.0,25.0,0.0,0.5,0.0,7.96,7.959060407911922
1.5,100.0,25.0,0.0,1.0,0.0,7.96,7.959060407911922
1.5,100.0,25.0,1000.0,0.5,0.0,7.96,7.959060407911922
1.5,100.0,25.0,1000.0,1.0,0.0,7.96,7.959060407911922
1.5,100.0,100.0,0.0,0.5,0.0,7.96,7.959060407911922
1.5,100.0,100.0,0.0,1.0,0.0,7.96,7.959060407911922
1.5,100.0,100.0,1000.0,0.5,0.0,7.96,7.959060407911922
