at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
targetwise_0.50+hazard_targetwise_0.50,targetwise,hazard_targetwise,7.91,7.914859077984282
targetwise_0.75+hazard_targetwise_0.25,targetwise,hazard_targetwise,7.92,7.915034509211916
targetwise,targetwise,hazard_targetwise,7.92,7.915312266743202
targetwise_0.50+hazard_targetwise_0.50,targetwise,targetwise_0.25+hazard_targetwise_0.75,7.92,7.915397875974239
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,hazard_targetwise,7.92,7.915446605566578
targetwise_0.25+hazard_targetwise_0.75,targetwise,hazard_targetwise,7.92,7.915531162039247
targetwise_0.75+hazard_targetwise_0.25,targetwise,targetwise_0.25+hazard_targetwise_0.75,7.92,7.915573308077772
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,hazard_targetwise,7.92,7.915622037749337
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,hazard_targetwise,7.92,7.915706030299918
targetwise,targetwise,targetwise_0.25+hazard_targetwise_0.75,7.92,7.91585106699586
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,hazard_targetwise,7.92,7.915879013119587
targetwise_0.75+hazard_targetwise_0.25,base_0.25+targetwise_0.75,hazard_targetwise,7.92,7.915881462904384
targetwise,targetwise_0.75+hazard_targetwise_0.25,hazard_targetwise,7.92,7.915899796792836
targetwise_0.50+hazard_targetwise_0.50,targetwise,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9159366766543116
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.915985406489967
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,hazard_targetwise,7.92,7.916034136347605
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,hazard_targetwise,7.92,7.916054446005272
targetwise_0.25+hazard_targetwise_0.75,targetwise,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916069963384809
targetwise_0.75+hazard_targetwise_0.25,targetwise,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916112109633744
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,hazard_targetwise,7.92,7.916118693280638
targetwise,base_0.25+targetwise_0.75,hazard_targetwise,7.92,7.916159222615615
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916160839548603
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,hazard_targetwise,7.92,7.916209569485466
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916251216642811
targetwise,targetwise_0.75+hazard_ridge_0.25,hazard_targetwise,7.92,7.916332206161747
targetwise_0.25+hazard_targetwise_0.75,base_0.25+targetwise_0.75,hazard_targetwise,7.92,7.916378119629641
targetwise,targetwise,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9163898699386115
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916417816201893
targetwise_0.75+hazard_targetwise_0.25,base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916426650133568
targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916438599978903
targetwise_0.50+hazard_targetwise_0.50,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.916475480024521
targetwise,targetwise_0.50+hazard_targetwise_0.50,hazard_targetwise,7.92,7.9164873300411776
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9165242101034705
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,hazard_targetwise,7.92,7.916551103526626
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916572940204403
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916593249963477
targetwise_0.25+hazard_targetwise_0.75,targetwise,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9166087674204855
hazard_targetwise,targetwise,hazard_targetwise,7.92,7.916613765585345
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.9166216703273395
targetwise_0.75+hazard_targetwise_0.25,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.916650913879852
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916657497559609
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9166996440380055
targetwise,base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916704411248032
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,hazard_targetwise,7.92,7.916706227720738
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916748374218163
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916790744688984
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.916797104420326
targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916871011506754
targetwise_0.25+hazard_targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916923309367907
targetwise,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.916928675571522
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916956621974336
targetwise_0.75+hazard_targetwise_0.25,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916966179056817
targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916977405855108
targetwise_0.50+hazard_targetwise_0.50,targetwise,targetwise,7.92,7.917014286084867
targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917026136160699
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917063016407111
targetwise,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.917074866488294
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917089909964559
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917111746751337
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917132056611842
targetwise_0.25+hazard_targetwise_0.75,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917147574146299
hazard_targetwise,targetwise,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917152572336139
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917160477117591
targetwise_0.75+hazard_targetwise_0.25,targetwise,targetwise,7.92,7.917189720816098
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.91719630452874
hazard_targetwise,targetwise_0.75+hazard_targetwise_0.25,hazard_targetwise,7.92,7.917201302720822
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.9172384512175675
targetwise,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917243941559948
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.9172450349331625
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9172871816410195
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.91729376535959
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917329552323382
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917335912086476
targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9174098195418985
hazard_targetwise,base_0.25+targetwise_0.75,hazard_targetwise,7.92,7.9174607316723655
