target,option,target_abs_log_error
at_least_one,targetwise_0.50+hazard_targetwise_0.50,0.09531281685459284
at_least_one,targetwise_0.75+hazard_targetwise_0.25,0.09531769378497684
at_least_one,targetwise,0.0953254153367079
at_least_one,targetwise_0.25+hazard_targetwise_0.75,0.09533150052710726
at_least_one,hazard_targetwise,0.09536159623541249
at_least_one,base_0.25+targetwise_0.75,0.0953914122579607
at_least_one,targetwise_0.75+hazard_ridge_0.25,0.09545262717917705
at_least_one,base_0.50+targetwise_0.50,0.09549125139849599
at_least_one,targetwise_0.50+hazard_ridge_0.50,0.09558182037231551
at_least_one,base_0.75+targetwise_0.25,0.0956335997917322
at_least_one,targetwise_0.25+hazard_ridge_0.75,0.09571377956724388
at_least_one,ridge,0.09573786068836601
at_least_one,ridge_0.75+hazard_ridge_0.25,0.0957701152876791
at_least_one,base,0.09578433736101405
at_least_one,base_0.75+hazard_ridge_0.25,0.095792447568411
at_least_one,ridge_0.50+hazard_ridge_0.50,0.09580321128496297
at_least_one,base_0.50+hazard_ridge_0.50,0.09581364426823745
at_least_one,ridge_0.25+hazard_ridge_0.75,0.09583630728224683
at_least_one,base_0.25+hazard_ridge_0.75,0.09584065047259623
at_least_one,hazard_ridge,0.09587246894538388
at_least_three,hazard_targetwise,0.06073199482729288
at_least_three,targetwise_0.25+hazard_targetwise_0.75,0.06074687241818328
at_least_three,targetwise_0.50+hazard_targetwise_0.50,0.06076175000907357
at_least_three,targetwise_0.75+hazard_targetwise_0.25,0.060776627599963856
at_least_three,targetwise,0.060791505190854016
at_least_three,targetwise_0.75+hazard_ridge_0.25,0.06082104664170475
at_least_three,base_0.25+targetwise_0.75,0.06083904610396143
at_least_three,targetwise_0.50+hazard_ridge_0.50,0.060850588092555356
at_least_three,targetwise_0.25+hazard_ridge_0.75,0.06088012954340596
at_least_three,base_0.50+targetwise_0.50,0.060894766617774695
at_least_three,hazard_ridge,0.06091327425755322
at_least_three,ridge_0.25+hazard_ridge_0.75,0.06093329509484274
at_least_three,ridge_0.50+hazard_ridge_0.50,0.06095367068285113
at_least_three,ridge_0.75+hazard_ridge_0.25,0.06097502751260212
at_least_three,base_0.25+hazard_ridge_0.75,0.06097669723846754
at_least_three,ridge,0.06099693126895686
at_least_three,base_0.75+targetwise_0.25,0.06106182888248667
at_least_three,base_0.50+hazard_ridge_0.50,0.06107890424761231
at_least_three,base_0.75+hazard_ridge_0.25,0.06118158153947418
at_least_three,base,0.061287462876964294
at_least_two,targetwise,0.07247275656302228
at_least_two,targetwise_0.75+hazard_targetwise_0.25,0.07248898881457179
at_least_two,base_0.25+targetwise_0.75,0.07249649906152679
at_least_two,targetwise_0.75+hazard_ridge_0.25,0.0725011103131232
at_least_two,targetwise_0.50+hazard_targetwise_0.50,0.07250522106612123
at_least_two,targetwise_0.25+hazard_targetwise_0.75,0.07252145331767067
at_least_two,base_0.50+targetwise_0.50,0.07252259274893114
at_least_two,targetwise_0.50+hazard_ridge_0.50,0.07252963230996944
at_least_two,hazard_targetwise,0.07253801695320736
at_least_two,ridge,0.07254913812097867
at_least_two,targetwise_0.25+hazard_ridge_0.75,0.07255924577789291
at_least_two,ridge_0.75+hazard_ridge_0.25,0.07256051384208342
at_least_two,ridge_0.50+hazard_ridge_0.50,0.07257270706257948
at_least_two,base_0.75+targetwise_0.25,0.07258391740205197
at_least_two,ridge_0.25+hazard_ridge_0.75,0.07258757028972951
at_least_two,hazard_ridge,0.07260243351687949
at_least_two,base_0.25+hazard_ridge_0.75,0.07261720692378594
at_least_two,base_0.50+hazard_ridge_0.50,0.07263198033069233
at_least_two,base_0.75+hazard_ridge_0.25,0.07264675373759873
at_least_two,base,0.07267389668314991
