candidate_id,model_family,target_configs,daily_lags,weekly_lags,monthly_weight,daily_weight,weekly_weight,use_bias,calibration_metric_percent,pretest_metric_percent
scalar_d8_w5_weights_0.05_0.40_0.55,scalar_past_only_blend,,8.0,5.0,0.05,0.4,0.55,False,8.03,8.17
scalar_d8_w6_weights_0.05_0.40_0.55,scalar_past_only_blend,,8.0,6.0,0.05,0.4,0.55,False,8.03,8.17
scalar_d8_w5_weights_0.05_0.35_0.60,scalar_past_only_blend,,8.0,5.0,0.05,0.35,0.6,False,8.02,8.18
scalar_d8_w6_weights_0.05_0.35_0.60,scalar_past_only_blend,,8.0,6.0,0.05,0.35,0.6,False,8.02,8.18
scalar_d8_w5_weights_0.05_0.35_0.60,scalar_past_only_blend,,8.0,5.0,0.05,0.35,0.6,True,8.03,8.18
scalar_d8_w5_weights_0.05_0.40_0.55,scalar_past_only_blend,,8.0,5.0,0.05,0.4,0.55,True,8.03,8.18
scalar_d8_w6_weights_0.05_0.35_0.60,scalar_past_only_blend,,8.0,6.0,0.05,0.35,0.6,True,8.03,8.18
scalar_d8_w6_weights_0.05_0.40_0.55,scalar_past_only_blend,,8.0,6.0,0.05,0.4,0.55,True,8.03,8.18
scalar_d7_w5_weights_0.10_0.35_0.55,scalar_past_only_blend,,7.0,5.0,0.1,0.35,0.55,False,8.04,8.18
scalar_d7_w6_weights_0.10_0.35_0.55,scalar_past_only_blend,,7.0,6.0,0.1,0.35,0.55,False,8.04,8.18
scalar_d8_w5_weights_0.05_0.45_0.50,scalar_past_only_blend,,8.0,5.0,0.05,0.45,0.5,False,8.05,8.18
scalar_d8_w5_weights_0.10_0.30_0.60,scalar_past_only_blend,,8.0,5.0,0.1,0.3,0.6,False,8.05,8.18
scalar_d8_w5_weights_0.10_0.30_0.60,scalar_past_only_blend,,8.0,5.0,0.1,0.3,0.6,True,8.05,8.18
scalar_d8_w5_weights_0.10_0.35_0.55,scalar_past_only_blend,,8.0,5.0,0.1,0.35,0.55,False,8.05,8.18
scalar_d8_w6_weights_0.05_0.45_0.50,scalar_past_only_blend,,8.0,6.0,0.05,0.45,0.5,False,8.05,8.18
scalar_d8_w6_weights_0.10_0.30_0.60,scalar_past_only_blend,,8.0,6.0,0.1,0.3,0.6,False,8.05,8.18
scalar_d8_w6_weights_0.10_0.30_0.60,scalar_past_only_blend,,8.0,6.0,0.1,0.3,0.6,True,8.05,8.18
scalar_d8_w6_weights_0.10_0.35_0.55,scalar_past_only_blend,,8.0,6.0,0.1,0.35,0.55,False,8.05,8.18
scalar_d5_w5_weights_0.10_0.30_0.60,scalar_past_only_blend,,5.0,5.0,0.1,0.3,0.6,False,8.06,8.18
scalar_d5_w5_weights_0.10_0.30_0.60,scalar_past_only_blend,,5.0,5.0,0.1,0.3,0.6,True,8.06,8.18
scalar_d5_w6_weights_0.10_0.30_0.60,scalar_past_only_blend,,5.0,6.0,0.1,0.3,0.6,False,8.06,8.18
