target,daily_lags,weekly_lags,monthly_lags,monthly_weight,daily_weight,weekly_weight,target_log_error
at_least_one,5,5,1,0.0,0.15,0.85,0.11332863310629565
at_least_one,5,6,1,0.0,0.15,0.85,0.11332863310629565
at_least_one,5,5,1,0.0,0.1,0.9,0.11340617302145245
at_least_one,5,6,1,0.0,0.1,0.9,0.11340617302145245
at_least_one,7,5,1,0.0,0.2,0.8,0.11343021953135987
at_least_one,7,6,1,0.0,0.2,0.8,0.11343021953135987
at_least_one,7,5,1,0.05,0.1,0.85,0.11348367952316026
at_least_one,7,6,1,0.05,0.1,0.85,0.11348367952316026
at_least_one,5,5,1,0.0,0.2,0.8,0.11349217804308301
at_least_one,5,6,1,0.0,0.2,0.8,0.11349217804308301
at_least_two,5,5,1,0.05,0.15,0.8,0.06753806398925154
at_least_two,5,6,1,0.05,0.15,0.8,0.06753806398925154
at_least_two,8,5,1,0.0,0.15,0.85,0.06754690808699497
at_least_two,8,6,1,0.0,0.15,0.85,0.06754690808699497
at_least_two,5,5,1,0.05,0.1,0.85,0.0675495830187471
at_least_two,5,6,1,0.05,0.1,0.85,0.0675495830187471
at_least_two,8,5,1,0.0,0.2,0.8,0.06756290457565736
at_least_two,8,6,1,0.0,0.2,0.8,0.06756290457565736
at_least_two,8,5,1,0.0,0.25,0.75,0.0675789010643198
at_least_two,8,6,1,0.0,0.25,0.75,0.0675789010643198
at_least_three,8,1,1,0.0,1.0,0.0,0.04541927039919171
at_least_three,8,2,1,0.0,1.0,0.0,0.04541927039919171
at_least_three,8,3,1,0.0,1.0,0.0,0.04541927039919171
at_least_three,8,4,1,0.0,1.0,0.0,0.04541927039919171
at_least_three,8,5,1,0.0,1.0,0.0,0.04541927039919171
at_least_three,8,6,1,0.0,1.0,0.0,0.04541927039919171
at_least_three,8,1,1,0.05,0.95,0.0,0.04543150675458325
at_least_three,8,2,1,0.05,0.95,0.0,0.04543150675458325
at_least_three,8,3,1,0.05,0.95,0.0,0.04543150675458325
at_least_three,8,4,1,0.05,0.95,0.0,0.04543150675458325
