at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
temporal_targetwise,temporal_targetwise,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.853683713012294
temporal_targetwise,temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,7.85,7.853693247893334
temporal_targetwise,temporal_targetwise,temporal_targetwise_0.50+hazard_targetwise_0.50,7.85,7.853704725291055
temporal_targetwise,temporal_targetwise,temporal_targetwise,7.85,7.853705961069357
temporal_targetwise,temporal_targetwise,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.853754844373584
temporal_targetwise,temporal_targetwise,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.853816409569725
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,7.85,7.853830798111483
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.85,7.853850937311413
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.853864491655638
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.85,7.853885503969615
temporal_targetwise,temporal_targetwise,hazard_targetwise,7.85,7.853898496552558
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.853935623136166
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.853997188435491
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise,7.85,7.85403525444992
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.80+hazard_targetwise_0.20,7.85,7.85405539368802
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.854070498119081
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,hazard_targetwise,7.85,7.854079275555925
temporal_targetwise,temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,7.85,7.854100984183354
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.50+hazard_targetwise_0.50,7.85,7.854116149827717
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.8541820360197745
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise,7.85,7.8542397111759366
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.854243601459765
temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,7.85,7.854256862234643
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.80+hazard_targetwise_0.20,7.85,7.854259850452228
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.854274954911911
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,7.85,7.854297655258469
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.854311158464666
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.50+hazard_targetwise_0.50,7.85,7.854320606707077
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.85,7.854320693401173
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,hazard_targetwise,7.85,7.85432568876776
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.85,7.854332170865663
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.854382290239759
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.854395365494127
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.854443855794058
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise,7.85,7.854444168289532
temporal_targetwise,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.80+targetwise_0.20,7.85,7.8544613193807455
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.80+hazard_targetwise_0.20,7.85,7.854464307603992
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.854479412092319
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.85448157049391
temporal_targetwise,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.854489416324251
