feature_source,feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,half_life_hours,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
standard,all,1500.0,0.22,0.0,0.15,72.0,389,254,7.93,7.930945193077266,0.09453764207517784,0.07265847233304053,0.0617682064158926
standard,all,1500.0,0.22,0.0,0.25,72.0,389,254,7.93,7.930945193077266,0.09453764207517784,0.07265847233304053,0.0617682064158926
standard,all,1500.0,0.22,0.0,0.4,72.0,389,254,7.93,7.930945193077266,0.09453764207517784,0.07265847233304053,0.0617682064158926
standard,all,1500.0,0.2,0.0,0.15,72.0,389,254,7.93,7.931086866110371,0.09463429867209444,0.0726447166887993,0.06168924334052937
standard,all,1500.0,0.2,0.0,0.25,72.0,389,254,7.93,7.931086866110371,0.09463429867209444,0.0726447166887993,0.06168924334052937
standard,all,1500.0,0.2,0.0,0.4,72.0,389,254,7.93,7.931086866110371,0.09463429867209444,0.0726447166887993,0.06168924334052937
standard,all,1500.0,0.22,0.0,0.15,120.0,389,254,7.93,7.931258360622384,0.0948713961300742,0.07257818457438964,0.06152344477122461
standard,all,1500.0,0.22,0.0,0.25,120.0,389,254,7.93,7.931258360622384,0.0948713961300742,0.07257818457438964,0.06152344477122461
standard,all,1500.0,0.22,0.0,0.4,120.0,389,254,7.93,7.931258360622384,0.0948713961300742,0.07257818457438964,0.06152344477122461
standard,all,1500.0,0.25,0.0,0.15,120.0,389,254,7.93,7.931345851370586,0.09477916151321582,0.07258881462257413,0.061607481185336606
standard,all,1500.0,0.25,0.0,0.25,120.0,389,254,7.93,7.931345851370586,0.09477916151321582,0.07258881462257413,0.061607481185336606
standard,all,1500.0,0.25,0.0,0.4,120.0,389,254,7.93,7.931345851370586,0.09477916151321582,0.07258881462257413,0.061607481185336606
standard,all,1500.0,0.25,0.0,0.15,72.0,389,254,7.93,7.931361761534195,0.09440149939977162,0.07268005070062801,0.061894349450803035
standard,all,1500.0,0.25,0.0,0.25,72.0,389,254,7.93,7.931361761534195,0.09440149939977162,0.07268005070062801,0.061894349450803035
standard,all,1500.0,0.25,0.0,0.4,72.0,389,254,7.93,7.931361761534195,0.09440149939977162,0.07268005070062801,0.061894349450803035
standard,all,1500.0,0.2,0.0,0.15,120.0,389,254,7.93,7.931411782705,0.094937220075339,0.07257264935822894,0.06146742047790773
standard,all,1500.0,0.2,0.0,0.25,120.0,389,254,7.93,7.931411782705,0.094937220075339,0.07257264935822894,0.06146742047790773
standard,all,1500.0,0.2,0.0,0.4,120.0,389,254,7.93,7.931411782705,0.094937220075339,0.07257264935822894,0.06146742047790773
standard,all,1500.0,0.18,0.0,0.15,72.0,389,254,7.93,7.93162085020922,0.09473625685110604,0.0726327552374295,0.06161408893848913
standard,all,1500.0,0.18,0.0,0.25,72.0,389,254,7.93,7.93162085020922,0.09473625685110604,0.0726327552374295,0.06161408893848913
standard,all,1500.0,0.18,0.0,0.4,72.0,389,254,7.93,7.93162085020922,0.09473625685110604,0.0726327552374295,0.06161408893848913
standard,all,1500.0,0.18,0.0,0.15,120.0,389,254,7.93,7.9318825715510854,0.09500857986420863,0.07256889718841263,0.061412898608726986
standard,all,1500.0,0.18,0.0,0.25,120.0,389,254,7.93,7.9318825715510854,0.09500857986420863,0.07256889718841263,0.061412898608726986
standard,all,1500.0,0.18,0.0,0.4,120.0,389,254,7.93,7.9318825715510854,0.09500857986420863,0.07256889718841263,0.061412898608726986
standard,all,1000.0,0.18,0.0,0.25,120.0,389,254,7.93,7.932102878332414,0.09496983037148866,0.07259053812080297,0.061436130657813684
standard,all,1000.0,0.18,0.0,0.4,120.0,389,254,7.93,7.932102878332414,0.09496983037148866,0.07259053812080297,0.061436130657813684
standard,all,1000.0,0.2,0.0,0.25,120.0,389,254,7.93,7.932179389526817,0.09490563769815002,0.0725980848733278,0.061494903225804
standard,all,1000.0,0.2,0.0,0.4,120.0,389,254,7.93,7.932179389526817,0.09490563769815002,0.0725980848733278,0.061494903225804
standard,all,1000.0,0.18,0.0,0.15,120.0,389,254,7.93,7.932473760427139,0.09496983037148866,0.07259053812080297,0.06144643940139286
standard,all,1000.0,0.22,0.0,0.25,120.0,389,254,7.93,7.932542989123603,0.09484718604915862,0.07260787029122788,0.06155367577513356
standard,all,1000.0,0.22,0.0,0.4,120.0,389,254,7.93,7.932542989123603,0.09484718604915862,0.07260787029122788,0.06155367577513356
standard,all,1000.0,0.2,0.0,0.15,120.0,389,254,7.93,7.932591481143292,0.09490563769815002,0.0725980848733278,0.06150635738615123
standard,all,1000.0,0.15,0.0,0.25,120.0,389,254,7.93,7.932763724352321,0.09508320344103165,0.07257963213700695,0.06135203189750041
standard,all,1000.0,0.15,0.0,0.4,120.0,389,254,7.93,7.932763724352321,0.09508320344103165,0.07257963213700695,0.06135203189750041
standard,all,1500.0,0.3,0.0,0.15,120.0,389,254,7.93,7.9329529033609125,0.09464776340335958,0.07260653136134375,0.06176583095225227
standard,all,1500.0,0.3,0.0,0.25,120.0,389,254,7.93,7.9329529033609125,0.09464776340335958,0.07260653136134375,0.06176583095225227
standard,all,1500.0,0.3,0.0,0.4,120.0,389,254,7.93,7.9329529033609125,0.09464776340335958,0.07260653136134375,0.06176583095225227
standard,all,1000.0,0.22,0.0,0.15,120.0,389,254,7.93,7.932996291541716,0.09484718604915862,0.07260787029122788,0.06156627535224883
standard,all,1000.0,0.15,0.0,0.15,120.0,389,254,7.93,7.933072794656404,0.09508320344103165,0.07257963213700695,0.06136062251959414
standard,all,1500.0,0.2,0.0,0.08,120.0,389,254,7.93,7.933327998987227,0.09495960596073534,0.07257264935822894,0.061498296175229034
standard,all,1500.0,0.22,0.0,0.08,120.0,389,254,7.93,7.933366196695357,0.09489602058494373,0.07257818457438964,0.06155740803754472
standard,all,1500.0,0.15,0.0,0.15,72.0,389,254,7.93,7.933401938702378,0.09489220525620375,0.07261504723175682,0.06152535415521796
standard,all,1500.0,0.15,0.0,0.25,72.0,389,254,7.93,7.933401938702378,0.09489220525620375,0.07261504723175682,0.06152535415521796
standard,all,1500.0,0.15,0.0,0.4,72.0,389,254,7.93,7.933401938702378,0.09489220525620375,0.07261504723175682,0.06152535415521796
standard,all,1000.0,0.18,0.0,0.25,168.0,389,254,7.93,7.933573341260569,0.09513666737134926,0.07256283701148694,0.06133786637651954
standard,all,1000.0,0.18,0.0,0.4,168.0,389,254,7.93,7.933573341260569,0.09513666737134926,0.07256283701148694,0.06133786637651954
standard,all,1500.0,0.18,0.0,0.08,120.0,389,254,7.93,7.933607171721824,0.0950287271507988,0.07256889718841263,0.06144068673338287
standard,all,1500.0,0.15,0.0,0.15,120.0,389,254,7.93,7.933677080004187,0.09511681080271776,0.07256722023768546,0.06135622312280636
standard,all,1500.0,0.15,0.0,0.25,120.0,389,254,7.93,7.933677080004187,0.09511681080271776,0.07256722023768546,0.06135622312280636
standard,all,1500.0,0.15,0.0,0.4,120.0,389,254,7.93,7.933677080004187,0.09511681080271776,0.07256722023768546,0.06135622312280636
standard,all,1500.0,0.2,0.0,0.15,168.0,389,254,7.93,7.93370184026001,0.09510592593595144,0.07255375023013831,0.06138126620455361
standard,all,1500.0,0.2,0.0,0.25,168.0,389,254,7.93,7.93370184026001,0.09510592593595144,0.07255375023013831,0.06138126620455361
standard,all,1500.0,0.2,0.0,0.4,168.0,389,254,7.93,7.93370184026001,0.09510592593595144,0.07255375023013831,0.06138126620455361
standard,all,1000.0,0.18,0.0,0.25,72.0,389,254,7.93,7.933711895135587,0.09468439894748355,0.07267431898757125,0.061682503909236054
standard,all,1000.0,0.18,0.0,0.4,72.0,389,254,7.93,7.933711895135587,0.09468439894748355,0.07267431898757125,0.061682503909236054
standard,all,1500.0,0.22,0.0,0.15,168.0,389,254,7.93,7.933732675303262,0.09505697257962105,0.07255615177804127,0.061428675067959834
standard,all,1500.0,0.22,0.0,0.25,168.0,389,254,7.93,7.933732675303262,0.09505697257962105,0.07255615177804127,0.061428675067959834
standard,all,1500.0,0.22,0.0,0.4,168.0,389,254,7.93,7.933732675303262,0.09505697257962105,0.07255615177804127,0.061428675067959834
standard,all,1500.0,0.25,0.0,0.08,120.0,389,254,7.93,7.93374112511418,0.09480714385529475,0.07258881462257413,0.06164607580882156
standard,all,1000.0,0.18,0.0,0.15,168.0,389,254,7.93,7.933857151916834,0.09513666737134926,0.07256283701148694,0.06134575484739125
